Engine.PowerAtShaftRelative,Engine.RPM,Engine.PowerAtShaft,Unnamed: 3,Consumptions_Parsed,Unnamed: 5,Unnamed: 6,Unnamed: 7,Engine.PowerAtShaft_uptd,Engine.PowerAtShaft_Imputed_5,Engine.PowerAtShaft_Imputed,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,,Consumptions_Parsed_NN,EngineRunningMinutes,Engine.RunningHours
0,80.8,5400,,6.2,,,,4526.5,4507.6,4930.666667,,,,,,6.2,210,3.5
,80.8,5400,,5.1,,,,5019,4815.2,5189,,,,,,5.1,330.4267528,5.51
,80.8,5400,,40.2,,,,5453.25,5485,5437.666667,,,,,,40.2,1938.344039,32.31
,80.8,5400,,0.8,,,,3271.8325,3344.066,3084.666667,,,,,,0.8,133.4454329,2.22
78.46,80,5300,,23.5,,,,5300,5300,5300,,,,,,23.5,1170,19.5
77.72,81,5250,,29.5,,,,5250,5250,5250,,,,,,29.5,1440,24
78.16,81.4,5280,,30,,,,5280,5280,5280,,,,,,30,1500,25
78.58,81.1,5308,,29.5,,,,5308,5308,5308,,,,,,29.5,1440,24
79.6,82.4,5377,,29.5,,,,5377,5377,5377,,,,,,29.5,1440,24
80.53,81.9,5440,,30.4,,,,5440,5440,5440,,,,,,30.4,1500,25
82.21,82.2,5553,,29.4,,,,5553,5553,5553,,,,,,29.4,1440,24
80.34,81.9,5427,,29.6,,,,5427,5427,5427,,,,,,29.6,1440,24
78.46,82.1,5300,,29.6,,,,5300,5300,5300,,,,,,29.6,1440,24
66.62,77,4500,,29.3,,,,4500,4500,4500,,,,,,29.3,1440,24
76.24,78.8,5150,,29,,,,5150,5150,5150,,,,,,29,1440,24
66.62,75,4500,,18.2,,,,4500,4500,4500,,,,,,18.2,1140,19
0,80.8,5400,,0.8,,,,3271.8325,3344.066,3084.666667,,,,,,0.8,240,4
0,80.8,5400,,3.3,,,,3965.25,3898.8,3662.666667,,,,,,3.3,247.9694561,4.13
0,80.8,5400,,3.3,,,,3965.25,3898.8,3662.666667,,,,,,3.3,247.9694561,4.13
0,80.8,5400,,3.3,,,,3965.25,3898.8,3662.666667,,,,,,3.3,247.9694561,4.13
0,80.8,5400,,3.3,,,,3965.25,3898.8,3662.666667,,,,,,3.3,247.9694561,4.13
0,80.8,5400,,3.4,,,,3965.25,3898.8,3662.666667,,,,,,3.4,252.550417,4.21
0,80.8,5400,,3.4,,,,3965.25,3898.8,3662.666667,,,,,,3.4,252.550417,4.21
0,80.8,5400,,0.7,,,,3271.8325,3344.066,3084.666667,,,,,,0.7,128.864472,2.15
,80.8,5400,,0.7,,,,3271.8325,3344.066,3084.666667,,,,,,0.7,128.864472,2.15
,80.8,5400,,11.2,,,,5257.75,5406.2,5343.666667,,,,,,11.2,609.8653694,10.16
