FuelOilTypeIDCode,Amount
LSFO,0
MDO,0
MGOLS,151.2
MGO,0
MDOLS,0
HFO,1532.9
MGO,0
MDO,0
HFO,1505.5
MGOLS,151.2
MDOLS,0
LSFO,0
HFO,1475.6
MDO,0
LSFO,0
MDOLS,0
MGOLS,151.2
MGO,0
MDOLS,0
LSFO,0
MGOLS,151.2
MDO,0
MGO,0
HFO,1459.4
HFO,1458.4
LSFO,0
MDO,0
MDOLS,0
MGO,0
MGOLS,151.2
MGOLS,151.2
MGO,0
MDO,0
LSFO,0
MDOLS,0
HFO,1457.3
MGO,0
MGOLS,151.2
MDO,0
LSFO,0
HFO,1455.9
MDOLS,0
MDO,0
MDOLS,0
MGOLS,151.2
MGO,0
LSFO,0
HFO,1454.5
MGO,0
HFO,1450
MGOLS,151.2
MDO,0
MDOLS,0
LSFO,0
MGOLS,151.2
LSFO,0
MDOLS,0
MDO,0
HFO,1447
MGO,0
MGOLS,151.2
HFO,1425
MDO,0
MGO,0
LSFO,0
MDOLS,0
MGO,0
MGOLS,151.2
MDO,0
LSFO,0
MDOLS,0
HFO,1395.2
LSFO,0
MDOLS,0
HFO,1365.9
MGOLS,151.2
MDO,0
MGO,0
MGOLS,151.2
MGO,0
MDOLS,0
HFO,1337
LSFO,0
MDO,0
LSFO,0
MDO,0
MGO,0
HFO,1308
MDOLS,0
MGOLS,151.2
MDOLS,0
HFO,1279.4
MDO,0
MGO,0
MGOLS,151.2
LSFO,0
MDO,0
MGO,0
MDOLS,0
LSFO,0
HFO,1248.4
MGOLS,151.2
MGO,0
MGOLS,151.2
MDOLS,0
MDO,0
LSFO,0
HFO,1219.9
MGOLS,151.2
MDO,0
LSFO,0
MDOLS,0
MGO,0
HFO,1187.8
LSFO,0
MGO,0
MDOLS,0
HFO,1158.6
MDO,0
MGOLS,151.2
MDO,0
HFO,1129.1
MGO,0
MDOLS,0
LSFO,0
MGOLS,151.2
LSFO,0
MDOLS,0
MDO,0
HFO,1099.8
MGOLS,151.2
MGO,0
MGO,0
MGOLS,151.2
LSFO,0
MDOLS,0
MDO,0
HFO,1070.2
MDOLS,0
MDO,0
LSFO,0
HFO,1040.7
MGOLS,151.2
MGO,0
MDO,0
MGO,0
MGOLS,138.3
MDOLS,0
LSFO,0
HFO,1029
MGOLS,126.3
HFO,1034
MDO,0
MGO,0
LSFO,0
MDOLS,0
MGOLS,122
MDOLS,0
LSFO,0
MDO,0
HFO,1034
MGO,0
MDO,0
